Year,Rank,Institution,Code,Country,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,Overall
1/1/2022,  27=,The Australian National University,AU,Australia,94.6,79.3,44.4,95.4,100.0,98.8,84.0
1/1/2022,  37  ,The University of Melbourne,AU,Australia,98.9,97.3,19.9,89.7,97.1,99.9,81.4
1/1/2022,  38  ,The University of Sydney,AU,Australia,96.8,95.4,20.9,87.9,100.0,100.0,80.4
1/1/2022,  43  ,The University of New South Wales (UNSW Sydney),AU,Australia,90.4,94.4,15.2,93.5,100.0,99.8,77.7
1/1/2022,  47  ,The University of Queensland,AU,Australia,88.2,80.2,25.4,89.4,100.0,100.0,76.6
1/1/2022,  58  ,Monash University,AU,Australia,88.9,87.2,13.9,73.9,100.0,100.0,72.2
1/1/2022,  93  ,The University of Western Australia,AU,Australia,58.5,58.1,20.4,94.9,100.0,99.9,62.5
1/1/2022,  108  ,The University of Adelaide,AU,Australia,53.3,39.8,21.9,90.1,100.0,99.7,57.9
1/1/2022,  133  ,University of Technology Sydney,AU,Australia,44.4,71.8,8.9,86.3,98.6,95.2,53.9
1/1/2022,  193  ,University of Wollongong,AU,Australia,30.4,37.5,20.1,82.3,90.8,76.4,44.9
1/1/2022,  194=,Curtin University,AU,Australia,31.2,48.2,15.2,84.6,100.0,46.0,44.8
1/1/2022,  197  ,"The University of Newcastle, Australia (UON)",AU,Australia,30.8,28.6,32.9,80.6,100.0,30.5,44.6
1/1/2022,  200  ,Macquarie University,AU,Australia,33.2,52.8,17.3,60.9,98.8,95.2,44.1
1/1/2022,  206  ,RMIT University,AU,Australia,37.1,60.9,8.3,51.3,100.0,95.0,42.8
1/1/2022,  213  ,Queensland University of Technology (QUT),AU,Australia,42.0,44.8,8.7,59.0,98.3,43.3,42.1
1/1/2022,  283  ,Deakin University,AU,Australia,28.1,38.0,4.4,57.1,98.7,72.4,36.1
1/1/2022,  290=,Griffith University,AU,Australia,27.8,20.1,9.4,64.2,99.8,41.6,35.1
1/1/2022,  303=,University of Tasmania,AU,Australia,17.8,9.7,18.7,69.4,68.1,98.4,34.2
1/1/2022,  321  ,Swinburne University of Technology,AU,Australia,13.9,19.0,15.3,65.9,98.6,85.1,33.0
1/1/2022,  326=,University of South Australia,AU,Australia,23.1,16.7,20.6,45.6,100.0,70.4,32.8
1/1/2022,  362=,La Trobe University,AU,Australia,20.7,23.8,6.4,45.5,95.3,97.5,30.8
1/1/2022,  407=,Flinders University,AU,Australia,13.1,8.4,5.9,54.0,99.1,94.2,27.8
1/1/2022,  424=,James Cook University,AU,Australia,15.1,11.3,9.5,65.1,64.7,33.8,27.1
1/1/2022,  436=,University of Canberra ,AU,Australia,14.0,11.3,3.2,49.2,99.7,85.1,26.6
1/1/2022,  451=,Bond University,AU,Australia,4.8,7.5,46.3,19.1,99.0,99.0,25.8
1/1/2022,  494=, Western Sydney University,AU,Australia,17.7,22.5,5.7,30.0,100.0,50.8,24.1
1/1/2022,581-590,Murdoch University,AU,Australia,7.9,9.2,5.5,41.0,77.2,68.3,-
1/1/2022,601-650,Central Queensland University (CQUniversity Australia),AU,Australia,6.6,12.1,20.3,10.0,95.7,98.2,-
1/1/2022,601-650,Victoria University ,AU,Australia,8.1,8.2,2.1,46.9,29.0,89.7,-
1/1/2022,651-700,Edith Cowan University ,AU,Australia,8.4,11.3,8.0,23.1,58.7,87.9,-
1/1/2022,701-750,Charles Darwin University ,AU,Australia,5.3,4.5,6.2,29.1,43.0,88.2,-
1/1/2022,701-750,University of Southern Queensland ,AU,Australia,8.2,9.9,4.7,34.6,62.7,41.9,-
1/1/2022,751-800,Southern Cross University ,AU,Australia,3.8,4.0,4.6,27.2,67.0,83.8,-
1/1/2022,801-1000,Australian Catholic University,AU,Australia,7.5,12.2,5.1,15.9,63.1,51.6,-
1/1/2022,801-1000,Charles Sturt University ,AU,Australia,4.3,8.5,4.3,11.3,10.2,96.3,-
1/1/2022,801-1000,University of New England Australia,AU,Australia,10.4,7.5,1.6,27.8,1.4,4.6,-
1/1/2022,  1001-1200,University of the Sunshine Coast ,AU,Australia,3.2,3.0,2.2,24.7,1.4,41.3,-
1/1/2022,1201+,"The University of Notre Dame, Australia",AU,Australia,4.1,6.8,2.9,7.0,1.4,2.0,-
,,,,,,,,,,,
