university,year,rank_display
Massachusetts Institute of Technology (MIT) ,2017,1
Stanford University,2017,2
Harvard University,2017,3
University of Cambridge,2017,4
California Institute of Technology (Caltech),2017,5
University of Oxford,2017,6
UCL,2017,7
ETH Zurich - Swiss Federal Institute of Technology,2017,8
Imperial College London,2017,9
University of Chicago,2017,10
Massachusetts Institute of Technology (MIT) ,2018,1
Stanford University,2018,2
Harvard University,2018,3
California Institute of Technology (Caltech),2018,4
University of Cambridge,2018,5
University of Oxford,2018,6
UCL,2018,7
Imperial College London,2018,8
University of Chicago,2018,9
ETH Zurich - Swiss Federal Institute of Technology,2018,10
Massachusetts Institute of Technology (MIT) ,2019,1
Stanford University,2019,2
Harvard University,2019,3
California Institute of Technology (Caltech),2019,4
University of Oxford,2019,5
University of Cambridge,2019,6
ETH Zurich - Swiss Federal Institute of Technology,2019,7
Imperial College London,2019,8
University of Chicago,2019,9
UCL,2019,10
Massachusetts Institute of Technology (MIT) ,2020,1
Stanford University,2020,2
Harvard University,2020,3
University of Oxford,2020,4
California Institute of Technology (Caltech),2020,5
ETH Zurich - Swiss Federal Institute of Technology,2020,6
University of Cambridge,2020,7
UCL,2020,8
Imperial College London,2020,9
University of Chicago,2020,10
Massachusetts Institute of Technology (MIT) ,2021,1
Stanford University,2021,2
Harvard University,2021,3
California Institute of Technology (Caltech),2021,4
University of Oxford,2021,5
ETH Zurich - Swiss Federal Institute of Technology,2021,6
University of Cambridge,2021,7
Imperial College London,2021,8
University of Chicago,2021,9
UCL,2021,10
Massachusetts Institute of Technology (MIT) ,2022,1
University of Oxford,2022,2
Stanford University,2022,3
University of Cambridge,2022,3
Harvard University,2022,5
California Institute of Technology (Caltech),2022,6
Imperial College London,2022,7
ETH Zurich - Swiss Federal Institute of Technology,2022,8
UCL,2022,8
University of Chicago,2022,10
